epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
42,4252.76,1.483,1.65621,1.28413,0.82052,0.29364,0.40634,0.22198,1.52743,2.08694,1.36747,0.000230979,0.000230979,0.000230979
43,4361.51,1.42524,1.5983,1.26453,0.7745,0.35465,0.41788,0.22973,1.58046,2.09533,1.39532,0.000219198,0.000219198,0.000219198
44,4472.96,1.47256,1.60368,1.21047,0.76503,0.37317,0.41227,0.22204,1.60601,2.10882,1.40962,0.000207417,0.000207417,0.000207417
45,4580.95,1.42319,1.6163,1.26432,0.83608,0.29183,0.4063,0.22037,1.60001,2.12951,1.40985,0.000195636,0.000195636,0.000195636
46,4708.05,1.46141,1.60773,1.27132,0.77306,0.32221,0.42329,0.23147,1.57199,2.08142,1.3977,0.000183855,0.000183855,0.000183855
47,5008.73,1.43216,1.58675,1.2993,0.55288,0.38404,0.42779,0.23521,1.53969,2.06803,1.37891,0.000172074,0.000172074,0.000172074
48,5282.79,1.44537,1.58907,1.22073,0.79607,0.35629,0.43745,0.23625,1.50691,2.02525,1.36361,0.000160293,0.000160293,0.000160293
49,5541.13,1.41303,1.51685,1.25607,0.59817,0.39217,0.43598,0.24509,1.47405,2.00249,1.34413,0.000148512,0.000148512,0.000148512
50,5655.8,1.42371,1.55667,1.25648,0.56752,0.37872,0.43763,0.24986,1.48164,1.99488,1.33933,0.000136731,0.000136731,0.000136731
51,5760.44,1.21496,1.90778,1.16708,0.73903,0.37965,0.4116,0.22863,1.49418,2.0296,1.35664,0.00012495,0.00012495,0.00012495
52,5827.94,1.23178,1.78164,1.19231,0.77071,0.38184,0.41218,0.22996,1.50702,2.05065,1.36281,0.000113169,0.000113169,0.000113169
53,5885.73,1.26085,1.81412,1.19749,0.74789,0.37808,0.39741,0.21607,1.54788,2.13695,1.39517,0.000101388,0.000101388,0.000101388
54,5939.36,1.19874,1.77246,1.19015,0.77812,0.37549,0.40244,0.21917,1.55033,2.15523,1.40105,8.9607e-05,8.9607e-05,8.9607e-05
55,5991.82,1.26672,1.79782,1.21141,0.77396,0.3579,0.39342,0.21686,1.55414,2.14082,1.39968,7.7826e-05,7.7826e-05,7.7826e-05
56,6041.43,1.1994,1.70509,1.19704,0.64016,0.39153,0.43014,0.2301,1.53067,2.05897,1.37837,6.6045e-05,6.6045e-05,6.6045e-05
57,6093.93,1.14693,1.68855,1.14248,0.8051,0.3654,0.42755,0.2283,1.51169,2.0451,1.36533,5.4264e-05,5.4264e-05,5.4264e-05
58,6322.5,1.14473,1.63696,1.1352,0.8081,0.36087,0.42813,0.23001,1.50875,2.03721,1.36402,4.2483e-05,4.2483e-05,4.2483e-05
59,6362.64,1.20215,1.63107,1.19606,0.63022,0.37515,0.42606,0.23672,1.50144,2.03585,1.35646,3.0702e-05,3.0702e-05,3.0702e-05
60,6406.11,1.13447,1.62615,1.21065,0.61981,0.39225,0.43034,0.23495,1.49973,2.03502,1.35647,1.8921e-05,1.8921e-05,1.8921e-05
